Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-01-24 18:25:03,false,"Cardiff Running","5.01","526","00:31:59","155","178","3.5","157","176","6:23","5:26","9","7","0.99","8.6","8.5","292","6:22","402","0.0","395","496","0.0","0.0","0","0","0","--","0:00","20.0","0:00","No","00:03.27","6","28.0","00:31:47","00:31:59","9","12"
Strength Training,2024-01-23 17:48:18,false,"Strength","0.00","748","01:44:33","110","169","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","4","1","0:00","0.0","0:00","No","01:44:32.100","1","0.0","01:44:33","01:44:33","--","--"
Strength Training,2024-01-21 13:20:03,false,"Strength","0.00","552","01:18:02","106","151","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","5","1","0:00","0.0","0:00","No","01:18:01.78","1","0.0","01:18:02","01:18:02","--","--"
Running,2024-01-21 11:48:22,false,"Cardiff Running","2.63","297","00:20:56","145","161","2.5","133","169","7:58","5:45","20","10","0.92","8.4","7.7","292","7:54","377","0.0","325","542","0.0","0.0","0","0","0","--","0:00","19.0","0:00","No","05:49.17","3","24.0","00:19:10","00:20:56","10","20"
Running,2024-01-18 18:16:00,false,"Cardiff Running","5.01","525","00:31:59","156","170","3.5","160","167","6:23","5:48","9","9","0.97","8.7","8.4","290","6:24","397","0.0","393","470","0.0","0.0","0","0","0","--","0:00","17.0","0:00","No","00:02.34","6","28.0","00:31:47","00:31:59","8","12"
Strength Training,2024-01-17 18:22:26,false,"Strength","0.00","356","01:11:55","89","136","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","5","1","0:00","0.0","0:00","No","01:11:54.54","1","0.0","01:11:55","01:11:55","--","--"
Running,2024-01-16 18:14:13,false,"Cardiff Running","8.01","796","00:52:37","138","158","3.6","161","181","6:34","4:33","21","22","0.94","8.8","8.3","293","6:35","394","0.0","391","586","0.0","0.0","0","0","0","--","0:00","18.0","0:00","No","00:02.70","9","26.0","00:52:33","00:52:37","6","15"
Running,2024-01-14 10:20:14,false,"Cardiff Running","2.52","253","00:21:14","133","155","2.1","138","165","8:25","6:34","14","1","0.83","9.0","7.4","309","8:22","328","0.0","287","510","0.0","0.0","0","0","0","--","0:00","16.0","0:00","No","03:55.36","3","17.0","00:20:55","00:21:14","14","28"
Running,2024-01-14 08:34:11,false,"Cardiff Running","11.91","1,240","01:26:39","147","163","3.9","149","231","7:17","5:49","34","32","0.91","8.8","8.0","300","7:13","359","0.0","342","514","0.0","0.0","0","0","0","--","0:00","17.0","0:00","No","06:33.59","12","26.0","01:25:28","01:26:39","12","30"
Running,2024-01-12 17:10:21,false,"Cardiff Running","6.01","624","00:38:20","152","161","3.6","158","167","6:23","4:12","7","9","0.99","8.6","8.5","293","6:24","410","0.0","402","673","0.0","0.0","0","0","0","--","0:00","17.0","0:00","No","00:02.08","7","29.0","00:38:05","00:38:20","6","11"
Running,2024-01-10 18:29:15,false,"Cardiff Running","7.05","759","00:47:40","158","175","3.8","156","165","6:45","4:41","22","20","0.94","8.8","8.3","299","6:45","393","0.0","386","577","0.0","0.0","0","0","0","--","0:00","15.0","0:00","No","00:20.14","8","28.0","00:47:32","00:47:40","8","16"
Strength Training,2024-01-09 17:59:52,false,"Strength","0.00","375","00:48:13","111","158","1.6","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","52","1","0:00","0.0","0:00","No","48:13.34","1","0.0","00:48:13","00:48:13","--","--"
Running,2024-01-09 17:17:40,false,"Cardiff Running","2.53","236","00:21:58","126","140","1.9","138","159","8:40","4:56","12","11","0.80","9.3","7.4","320","8:43","306","0.0","280","616","0.0","0.0","0","0","0","--","0:00","16.0","0:00","No","04:22.07","3","20.0","00:21:57","00:21:58","5","10"
Running,2024-01-07 10:52:41,false,"Cardiff Running","16.02","1,741","01:58:07","152","168","4.7","148","236","7:22","5:48","163","167","0.91","8.8","8.0","302","7:13","378","0.0","357","566","0.0","0.0","0","0","0","--","0:00","17.0","0:00","No","00:07.84","17","27.0","01:55:41","01:58:07","6","71"
Strength Training,2024-01-05 16:06:25,false,"Strength","0.00","413","01:17:04","93","165","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","4","1","0:00","0.0","0:00","No","01:17:04.30","1","0.0","01:17:04","01:17:04","--","--"
Running,2024-01-02 16:58:23,false,"Cardiff Running","6.01","634","00:38:19","153","178","4.1","159","167","6:23","5:39","74","79","0.99","8.6","8.5","295","6:22","423","0.0","416","616","0.0","0.0","0","0","0","--","0:00","17.0","0:00","No","00:03.16","7","27.0","00:38:17","00:38:19","1","12"
Running,2023-12-31 14:38:52,false,"Cardiff Running","5.00","508","00:28:57","175","186","5.0","163","167","5:47","1:34","26","27","1.07","8.3","8.8","282","5:43","438","0.0","437","1,490","0.0","0.0","0","0","0","--","0:00","15.0","0:00","No","05:37.52","5","23.0","00:28:56","00:28:57","6","13"
Strength Training,2023-12-29 13:28:16,false,"Strength","0.00","553","01:23:20","106","146","1.7","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","11","1","0:00","0.0","0:00","No","01:23:20.41","1","0.0","01:23:20","01:23:20","--","--"
Running,2023-12-26 12:02:47,false,"Rhondda Cynon Taff Running","5.00","525","00:31:21","169","184","4.4","149","233","6:16","5:15","59","60","1.04","8.1","8.4","285","6:10","411","0.0","387","629","0.0","0.0","0","0","0","--","0:00","18.0","0:00","No","05:40.28","5","28.0","00:31:16","00:31:21","195","231"
Running,2023-12-20 19:10:35,false,"Cardiff Running","7.01","735","00:46:32","164","180","4.5","152","179","6:38","4:50","56","56","0.98","8.6","8.4","296","6:35","384","0.0","369","537","0.0","0.0","0","0","0","--","0:00","19.0","0:00","No","00:04.44","8","25.0","00:46:19","00:46:32","2","13"
